,0,longitude
0,54.979,-1.355
1,54.942,-1.27
2,54.906,-1.185
3,54.87,-1.099
4,54.833,-1.014
5,54.797,-0.928
6,54.761,-0.843
7,54.724,-0.758
8,54.688,-0.672
9,54.652,-0.587
10,54.615,-0.501
11,54.579,-0.416
12,54.543,-0.331
13,54.506,-0.245
14,54.47,-0.16
15,54.434,-0.074
16,54.397,0.011
17,54.361,0.096
18,54.325,0.182
19,54.288,0.267
20,54.252,0.353
21,54.216,0.438
22,54.179,0.523
23,54.143,0.609
24,54.107,0.694
25,54.07,0.78
26,54.034,0.865
27,53.998,0.95
28,53.961,1.036
29,53.925,1.121
30,53.889,1.207
31,53.852,1.292
32,53.816,1.377
33,53.78,1.463
34,53.743,1.548
35,53.707,1.634
36,53.671,1.719
37,53.634,1.804
38,53.598,1.89
39,53.562,1.975
40,53.525,2.061
41,53.489,2.146
42,53.453,2.231
43,53.416,2.317
44,53.38,2.402
45,53.344,2.488
46,53.307,2.573
47,53.271,2.658
48,53.235,2.744
49,53.198,2.829
50,53.162,2.915
51,53.126,3.0
52,53.089,3.085
53,53.053,3.171
54,53.017,3.256
55,52.98,3.342
56,52.944,3.427
57,52.908,3.512
58,52.871,3.598
59,52.835,3.683
60,52.799,3.769
61,52.762,3.854
62,52.726,3.939
63,52.69,4.025
64,52.653,4.11
65,52.617,4.196
66,52.581,4.281
67,52.544,4.366
68,52.508,4.452
69,52.47169283545967,4.537125962881187
