,0
0,3.1
1,3.1
2,2.8
3,1.4
4,2.6
5,3.5
6,3.7
7,3.3
8,2.2
9,3.4
10,3.8
11,2.0
12,3.0
13,0.5
14,2.2
15,3.1
16,2.6
17,3.2
18,1.6
19,0.7
20,2.7
21,3.1
22,1.2
23,2.1
24,2.0
25,3.2
26,1.6
27,1.1
28,2.8
29,2.5
30,2.6
31,1.9
32,1.5
33,2.8
34,1.8
35,1.3
36,3.0
37,1.5
38,1.1
39,2.5
40,2.3
41,3.2
42,3.7
43,2.1
44,1.6
45,3.2
46,4.0
47,4.1
48,3.6
49,2.8
50,1.1
51,2.7
52,0.9
53,1.0
54,3.0
55,1.7
56,1.6
57,1.1
58,2.1
59,2.4
60,1.1
61,2.9
62,2.2
63,3.5
64,0.6
65,2.9
66,2.1
67,1.0
68,2.0
69,2.6
70,3.0
71,0.5
72,2.3
73,3.3
74,3.0
75,3.3
76,2.5
77,2.5
78,2.3
79,0.5
80,1.1
81,2.7
82,2.7
83,2.7
84,3.0
85,0.5
86,2.4
87,2.5
88,3.0
89,2.4
90,2.8
91,1.0
92,1.9
93,2.6
94,2.9
95,2.6
96,2.3
97,1.1
98,2.7
99,1.2
100,2.0
101,3.0
102,3.4
103,1.9
104,0.7
105,2.5
106,1.7
107,1.6
108,0.7
109,0.1
110,2.5
111,0.9
112,2.4
113,0.9
114,3.0
115,1.5
116,2.6
117,3.7
118,3.9
119,3.6
120,2.5
121,3.8
122,1.4
123,1.7
124,2.3
125,2.6
126,2.4
127,1.0
128,1.3
129,2.4
130,1.8
131,2.8
132,3.2
133,1.1
134,2.5
135,0.8
136,2.2
137,1.5
138,3.2
139,2.2
140,3.5
141,3.7
142,1.9
143,3.0
144,3.5
145,2.0
146,3.7
147,4.6
148,3.3
149,1.1
150,3.0
151,3.0
152,2.9
153,3.7
154,2.4
155,3.1
156,2.1
157,2.6
158,1.1
159,0.3
160,0.3
161,3.2
162,4.2
163,3.3
164,3.2
165,2.0
166,3.8
167,1.3
168,2.5
169,1.3
170,2.9
171,3.0
172,2.3
173,2.6
174,3.5
175,3.9
176,2.8
177,3.6
178,3.7
179,1.7
180,2.3
181,1.4
182,2.5
183,2.5
184,3.0
185,0.9
186,2.8
187,3.6
188,1.7
189,3.5
190,2.3
191,0.6
192,0.4
193,2.7
194,2.6
195,2.3
196,2.8
197,3.0
198,3.3
199,2.7
200,3.3
201,0.8
202,3.4
203,2.9
204,0.9
205,2.8
206,3.2
207,3.4
208,1.4
209,0.7
210,0.5
211,1.4
212,3.1
213,3.5
214,3.2
215,1.5
216,2.4
217,1.3
218,3.0
219,3.7
220,0.5
221,2.2
222,0.6
223,3.0
224,2.9
225,0.6
226,3.2
227,0.7
228,1.7
229,3.3
230,0.6
231,2.6
232,1.0
233,2.6
234,1.8
235,2.3
236,0.3
237,1.0
238,0.6
239,2.6
240,3.0
241,1.7
242,2.7
243,0.1
244,1.0
245,1.9
246,1.1
247,2.0
248,3.2
249,2.2
250,1.2
251,1.5
252,3.3
253,3.4
254,2.5
255,2.1
256,3.2
257,1.5
258,2.9
259,2.2
260,3.0
261,3.1
262,0.8
263,3.5
264,4.0
265,2.5
266,0.5
267,2.6
268,1.6
269,1.7
270,2.5
271,1.3
272,3.0
273,2.5
274,3.6
275,4.1
276,2.7
277,1.8
278,3.0
279,4.0
280,4.1
281,1.3
282,2.8
283,1.5
284,0.7
285,0.9
286,2.5
287,3.9
288,3.1
289,2.9
290,2.5
291,3.8
292,3.0
293,4.2
294,2.9
295,1.1
296,0.8
297,2.8
298,1.0
299,2.7
300,1.3
301,2.8
302,3.4
303,3.9
304,1.4
305,0.7
306,2.2
307,0.2
308,2.3
309,1.8
310,3.3
311,3.4
312,1.4
313,2.9
314,2.8
315,2.9
316,1.8
317,2.5
318,1.1
319,2.4
320,2.8
321,3.7
322,3.5
323,3.9
324,0.9
325,2.3
326,1.0
327,2.3
328,2.7
329,3.7
330,3.7
331,3.1
332,0.9
333,3.2
334,3.1
335,1.3
336,2.3
337,3.4
338,3.5
339,3.2
340,0.4
341,0.5
342,2.8
343,3.0
344,1.8
345,2.3
346,1.0
347,1.8
348,1.9
349,1.4
350,3.1
351,3.3
352,3.2
353,1.3
354,3.0
355,2.0
356,0.9
357,0.5
358,3.0
359,3.1
360,3.6
361,3.5
362,1.6
363,2.7
364,2.5
365,1.9
366,2.6
367,2.3
368,1.4
369,3.0
370,2.7
371,2.7
372,2.7
373,2.9
374,1.5
375,2.0
376,2.5
377,3.2
378,2.9
379,2.6
380,2.3
381,2.6
382,1.9
383,2.8
384,0.4
385,2.9
386,2.9
387,3.1
388,3.1
389,1.5
390,1.2
391,0.7
392,2.7
393,0.4
394,2.7
395,0.7
396,2.4
397,0.5
398,2.7
399,0.6
400,1.9
401,1.4
402,0.7
403,2.3
404,0.7
405,0.8
406,0.8
407,0.4
408,2.9
409,1.0
410,2.1
411,0.7
412,1.2
413,2.1
414,2.0
415,3.0
416,3.2
417,1.7
418,1.8
419,2.0
420,2.7
421,3.5
422,3.9
423,4.1
424,2.8
425,1.4
426,2.0
427,1.3
428,2.7
429,1.0
430,3.4
431,1.8
432,3.7
433,2.2
434,3.2
435,0.9
436,0.7
437,2.4
438,2.5
439,2.4
440,1.1
441,3.1
442,2.6
443,3.8
444,0.7
445,2.8
446,2.6
447,3.4
448,2.6
449,1.6
450,2.3
451,2.6
452,1.9
453,1.4
454,3.9
455,3.6
456,3.5
457,3.5
458,3.3
459,0.8
460,3.4
461,1.0
462,2.7
463,3.0
464,3.3
465,0.2
466,0.7
467,2.7
468,2.6
469,1.2
470,2.3
471,0.9
472,2.8
473,2.4
474,3.2
475,2.3
476,0.3
477,0.6
478,2.7
479,0.7
480,3.3
481,2.4
482,3.9
483,1.6
484,0.7
485,1.2
486,1.3
487,3.1
488,0.7
489,1.1
490,1.1
491,2.4
492,2.5
493,2.8
494,1.2
495,1.1
496,1.0
497,1.2
498,0.5
499,2.0
500,2.9
501,1.9
502,2.1
503,2.6
504,0.4
505,2.8
506,0.8
507,2.9
508,3.1
509,3.5
510,2.0
511,0.7
512,0.5
513,2.8
514,3.2
515,2.7
516,3.5
517,2.7
518,0.9
519,0.5
520,2.4
521,2.5
522,1.0
523,1.1
524,2.6
525,2.7
526,2.8
527,2.6
528,0.7
529,2.2
530,2.7
531,1.7
532,0.9
533,0.9
534,3.2
535,1.1
536,0.7
537,0.7
538,2.0
539,1.9
540,0.9
541,0.9
542,1.5
543,2.8
544,2.4
545,2.5
546,2.2
547,3.1
548,3.2
549,0.3
550,0.5
551,1.1
552,1.8
553,2.6
554,2.0
555,2.7
556,2.6
557,1.7
558,2.2
559,1.8
560,1.4
561,1.0
562,2.5
563,1.6
564,1.1
565,2.8
566,1.1
567,1.8
568,2.1
569,3.2
570,1.9
571,3.0
572,2.8
573,2.0
574,3.0
575,3.4
576,2.7
577,3.6
578,3.1
579,2.6
580,1.1
581,2.4
582,0.9
583,2.7
584,3.0
585,2.6
586,2.7
587,2.4
588,1.5
589,1.3
590,2.4
591,0.7
592,1.2
593,1.0
594,1.2
595,3.2
596,1.3
597,3.6
598,4.1
599,3.1
600,1.5
601,3.2
602,1.5
603,3.0
604,3.5
605,4.3
606,1.6
607,3.7
608,3.4
609,2.9
610,2.5
611,3.8
612,3.0
613,4.2
614,2.9
615,3.9
616,0.5
617,2.8
618,1.0
619,2.7
620,0.4
621,2.7
622,1.5
623,1.2
624,1.2
625,1.1
626,3.1
627,2.5
628,2.3
629,1.5
630,1.2
631,0.7
632,2.6
633,1.2
634,0.4
635,2.6
636,1.2
637,2.4
638,2.3
639,2.0
640,1.5
641,1.0
642,3.3
643,2.2
644,0.8
645,2.5
646,0.4
647,1.2
648,2.6
649,3.1
650,2.9
651,1.6
652,2.0
653,3.3
654,2.5
655,3.0
656,1.0
657,1.2
658,3.0
659,0.8
660,2.2
661,1.7
662,1.1
663,2.3
664,1.3
665,2.9
666,3.6
667,0.8
668,2.9
669,2.5
670,2.7
671,1.6
672,3.1
673,1.7
674,0.8
675,2.9
676,0.5
677,1.0
678,2.4
679,2.4
680,2.7
681,1.5
682,2.8
683,1.0
684,2.9
685,3.2
686,2.8
687,3.0
688,3.0
689,1.4
690,0.8
691,3.0
692,2.2
693,2.7
694,2.7
695,2.6
696,0.9
697,1.4
698,1.6
699,2.6
700,1.2
701,1.7
702,1.2
703,1.4
704,0.8
705,2.1
706,0.5
707,1.1
708,0.7
709,2.1
710,2.5
711,2.8
712,1.9
713,1.6
714,1.2
715,1.9
716,1.9
717,2.4
718,2.5
719,0.3
720,2.4
721,2.3
722,1.2
723,1.0
724,0.5
725,2.8
726,1.6
727,1.9
728,0.8
729,2.9
730,1.4
731,2.5
732,2.9
733,2.5
734,2.0
735,3.2
736,2.1
737,2.9
738,3.7
739,3.4
740,3.0
741,0.2
742,2.4
743,2.8
744,2.5
745,0.7
746,1.9
747,0.8
748,2.8
749,3.9
750,3.4
751,1.9
752,3.5
753,3.2
754,1.6
755,0.1
756,2.4
757,3.1
758,1.1
759,2.8
760,3.3
761,1.3
762,2.2
