,0
0,2020-07-01 00:00:00.000
1,2020-07-01 18:29:42.000
2,2020-07-01 21:07:26.400
3,2020-07-01 23:10:51.600
4,2020-07-02 03:48:36.000
5,2020-07-02 06:39:36.000
6,2020-07-02 10:00:39.600
7,2020-07-02 11:29:38.400
8,2020-07-02 12:37:04.800
9,2020-07-02 14:23:06.000
10,2020-07-02 15:42:14.400
11,2020-07-02 17:46:01.200
12,2020-07-02 18:47:56.400
13,2020-07-02 20:20:52.800
14,2020-07-02 21:26:09.600
15,2020-07-02 22:59:09.600
16,2020-07-02 23:54:57.600
17,2020-07-03 01:20:52.800
18,2020-07-03 06:38:27.600
19,2020-07-03 07:35:49.200
20,2020-07-03 08:17:13.200
21,2020-07-03 09:27:10.800
22,2020-07-03 10:10:01.200
23,2020-07-03 10:55:44.400
24,2020-07-03 12:33:10.800
25,2020-07-03 13:35:06.000
26,2020-07-03 14:35:42.000
27,2020-07-03 15:19:40.800
28,2020-07-03 16:18:43.200
29,2020-07-03 20:02:02.400
30,2020-07-03 22:31:48.000
31,2020-07-03 23:35:02.400
32,2020-07-04 07:04:40.800
33,2020-07-04 08:03:32.400
34,2020-07-04 09:13:51.600
35,2020-07-04 10:14:42.000
36,2020-07-04 11:12:28.800
37,2020-07-04 12:14:42.000
38,2020-07-04 14:35:34.800
39,2020-07-04 19:57:43.200
40,2020-07-04 22:10:26.400
41,2020-07-04 23:40:12.000
42,2020-07-05 03:51:03.600
43,2020-07-05 04:47:31.200
44,2020-07-05 05:30:10.800
45,2020-07-05 06:34:22.800
46,2020-07-05 08:17:09.600
47,2020-07-05 09:18:18.000
48,2020-07-05 10:12:10.800
49,2020-07-05 11:13:01.200
50,2020-07-05 12:04:30.000
51,2020-07-05 13:22:37.200
52,2020-07-05 16:48:43.200
53,2020-07-05 19:29:45.600
54,2020-07-05 21:43:15.600
55,2020-07-05 22:44:38.400
56,2020-07-06 02:31:44.400
57,2020-07-06 03:52:26.400
58,2020-07-06 05:46:04.800
59,2020-07-06 07:45:46.800
60,2020-08-11 16:00:00.000
61,2020-08-11 17:19:15.600
62,2020-08-11 19:29:09.600
63,2020-08-11 22:07:48.000
64,2020-08-11 23:04:44.400
65,2020-08-12 00:30:14.400
66,2020-08-12 02:20:49.200
67,2020-08-12 08:31:37.200
68,2020-08-12 13:09:50.400
69,2020-08-12 17:48:10.800
70,2020-08-12 19:10:12.000
71,2020-08-12 20:39:21.600
72,2020-08-13 05:56:45.600
73,2020-08-13 07:11:06.000
74,2020-08-13 08:30:21.600
75,2020-08-13 10:59:13.200
76,2020-08-13 13:28:04.800
77,2020-08-13 14:42:32.400
78,2020-08-13 15:47:56.400
79,2020-08-13 17:59:27.600
80,2020-08-13 18:58:19.200
81,2020-08-14 01:11:20.400
82,2020-08-14 02:18:50.400
83,2020-08-14 03:52:08.400
84,2020-08-14 06:21:32.400
85,2020-08-14 08:50:09.600
86,2020-08-14 10:48:10.800
87,2020-08-14 11:52:15.600
88,2020-08-14 12:43:15.600
89,2020-08-14 13:30:46.800
90,2020-08-14 14:48:14.400
91,2020-08-14 15:55:12.000
92,2020-08-14 17:53:31.200
93,2020-08-14 18:59:16.800
94,2020-08-14 20:46:26.400
95,2020-08-14 21:42:43.200
96,2020-08-15 00:50:24.000
97,2020-08-15 01:47:49.200
98,2020-08-15 03:11:16.800
99,2020-08-15 04:09:07.200
100,2020-08-15 07:02:38.400
101,2020-08-15 10:26:38.400
102,2020-08-15 11:44:31.200
103,2020-08-15 12:40:58.800
104,2020-08-15 13:40:26.400
105,2020-08-15 15:00:43.200
106,2020-08-15 16:53:45.600
107,2020-08-15 18:02:20.400
108,2020-08-15 20:23:49.200
109,2020-08-15 21:44:13.200
110,2020-08-15 22:29:31.200
111,2020-08-16 00:35:24.000
112,2020-08-16 01:33:32.400
113,2020-08-16 02:43:58.800
114,2020-08-16 04:50:02.400
115,2020-08-16 10:14:24.000
116,2020-08-16 12:27:57.600
117,2020-08-16 15:09:18.000
118,2020-08-16 16:14:13.200
119,2020-08-16 17:27:36.000
120,2020-09-22 08:00:00.000
121,2020-09-22 09:01:37.200
122,2020-09-22 09:56:49.200
123,2020-09-22 12:07:30.000
124,2020-09-22 14:58:22.800
125,2020-09-22 20:15:57.600
126,2020-09-22 23:06:03.600
127,2020-09-23 03:44:09.600
128,2020-09-23 05:41:20.400
129,2020-09-23 08:00:28.800
130,2020-09-23 10:18:57.600
131,2020-09-23 19:36:03.600
132,2020-09-23 22:04:40.800
133,2020-09-23 22:57:46.800
134,2020-09-24 00:17:02.400
135,2020-09-24 01:36:46.800
136,2020-09-24 03:09:50.400
137,2020-09-24 04:07:08.400
138,2020-09-24 04:52:30.000
139,2020-09-24 07:12:14.400
140,2020-09-24 10:35:34.800
141,2020-09-24 11:28:51.600
142,2020-09-24 12:38:27.600
143,2020-09-24 16:22:26.400
144,2020-09-24 17:48:39.600
145,2020-09-24 18:43:01.200
146,2020-09-24 20:54:57.600
147,2020-09-24 23:35:13.200
148,2020-09-25 02:04:51.600
149,2020-09-25 03:21:50.400
150,2020-09-25 04:36:43.200
151,2020-09-25 06:04:15.600
152,2020-09-25 07:03:25.200
153,2020-09-25 08:15:36.000
154,2020-09-25 09:10:30.000
155,2020-09-25 11:22:55.200
156,2020-09-25 12:35:34.800
157,2020-09-25 13:17:02.400
158,2020-09-25 16:24:54.000
159,2020-09-25 17:27:32.400
160,2020-09-25 18:33:54.000
161,2020-09-25 19:30:00.000
162,2020-09-25 22:00:32.400
163,2020-09-26 00:13:26.400
164,2020-09-26 03:07:15.600
165,2020-09-26 05:47:49.200
166,2020-09-26 06:35:56.400
167,2020-09-26 11:59:09.600
168,2020-09-26 12:55:44.400
169,2020-09-26 13:49:19.200
170,2020-09-26 14:42:00.000
171,2020-09-26 17:36:18.000
172,2020-09-26 18:47:09.600
173,2020-09-26 20:29:38.400
174,2020-09-26 21:38:24.000
175,2020-09-26 23:13:01.200
176,2020-09-27 00:24:00.000
177,2020-09-27 01:41:52.800
178,2020-09-27 02:43:19.200
179,2020-09-27 04:18:03.600
180,2020-11-03 00:00:00.000
181,2020-11-03 01:22:12.000
182,2020-11-03 02:23:31.200
183,2020-11-03 03:48:57.600
184,2020-11-03 04:54:18.000
185,2020-11-03 06:51:18.000
186,2020-11-03 08:31:48.000
187,2020-11-03 10:08:31.200
188,2020-11-03 17:33:43.200
189,2020-11-04 12:07:01.200
190,2020-11-04 13:10:19.200
191,2020-11-04 14:32:52.800
192,2020-11-04 16:19:04.800
193,2020-11-04 17:33:25.200
194,2020-11-04 18:49:58.800
195,2020-11-04 19:55:37.200
196,2020-11-04 21:12:36.000
197,2020-11-04 22:18:18.000
198,2020-11-04 23:32:24.000
199,2020-11-05 00:42:18.000
200,2020-11-05 01:38:13.200
201,2020-11-05 02:20:27.600
202,2020-11-05 03:24:03.600
203,2020-11-05 06:30:43.200
204,2020-11-05 07:48:00.000
205,2020-11-05 09:10:33.600
206,2020-11-05 10:06:36.000
207,2020-11-05 11:08:56.400
208,2020-11-05 11:53:49.200
209,2020-11-05 13:23:09.600
210,2020-11-05 14:10:58.800
211,2020-11-05 15:17:56.400
212,2020-11-05 16:17:06.000
213,2020-11-05 18:08:56.400
214,2020-11-05 19:06:39.600
215,2020-11-05 20:19:15.600
216,2020-11-05 21:23:38.400
217,2020-11-05 22:35:56.400
218,2020-11-05 23:24:57.600
219,2020-11-06 00:45:28.800
220,2020-11-06 01:48:07.200
221,2020-11-06 02:48:46.800
222,2020-11-06 10:20:20.400
223,2020-11-06 11:10:33.600
224,2020-11-06 11:54:50.400
225,2020-11-06 13:32:34.800
226,2020-11-06 14:16:04.800
227,2020-11-06 23:41:42.000
228,2020-11-07 00:27:54.000
229,2020-11-07 03:35:31.200
230,2020-11-07 04:19:55.200
231,2020-11-07 05:16:33.600
232,2020-11-07 06:01:01.200
233,2020-11-07 06:54:43.200
234,2020-11-07 09:00:46.800
235,2020-11-07 09:53:34.800
236,2020-11-07 11:53:06.000
237,2020-11-07 12:48:10.800
238,2020-11-07 15:57:36.000
239,2020-11-07 16:50:27.600
240,2020-12-14 16:00:00.000
241,2020-12-14 17:09:21.600
242,2020-12-14 18:09:03.600
243,2020-12-14 19:14:24.000
244,2020-12-14 20:09:57.600
245,2020-12-14 21:15:21.600
246,2020-12-14 22:37:15.600
247,2020-12-14 23:56:42.000
248,2020-12-15 01:33:28.800
249,2020-12-15 03:10:15.600
250,2020-12-15 06:14:52.800
251,2020-12-15 08:01:01.200
252,2020-12-15 12:08:45.600
253,2020-12-15 15:51:46.800
254,2020-12-15 17:11:02.400
255,2020-12-15 18:40:19.200
256,2020-12-15 23:19:26.400
257,2020-12-16 00:31:30.000
258,2020-12-16 04:38:31.200
259,2020-12-16 06:15:43.200
260,2020-12-16 10:55:19.200
261,2020-12-16 23:21:18.000
262,2020-12-17 00:33:07.200
263,2020-12-17 01:47:45.600
264,2020-12-17 03:59:34.800
265,2020-12-17 04:48:03.600
266,2020-12-17 08:57:14.400
267,2020-12-17 10:27:00.000
268,2020-12-17 12:56:38.400
269,2020-12-17 17:04:48.000
270,2020-12-17 18:17:16.800
271,2020-12-17 19:12:46.800
272,2020-12-17 20:54:57.600
273,2020-12-17 21:50:52.800
274,2020-12-17 23:01:12.000
275,2020-12-18 00:00:25.200
276,2020-12-18 01:04:48.000
277,2020-12-18 01:46:15.600
278,2020-12-18 02:54:32.400
279,2020-12-18 03:35:31.200
280,2020-12-18 04:50:42.000
281,2020-12-18 06:24:10.800
282,2020-12-18 07:15:28.800
283,2020-12-18 08:09:14.400
284,2020-12-18 09:56:49.200
285,2020-12-18 11:04:55.200
286,2020-12-18 12:00:03.600
287,2020-12-18 14:13:08.400
288,2020-12-18 15:05:45.600
289,2020-12-18 18:30:25.200
290,2020-12-18 19:12:21.600
291,2020-12-18 20:03:50.400
292,2020-12-18 22:03:10.800
293,2020-12-19 00:08:27.600
294,2020-12-19 01:29:31.200
295,2020-12-19 02:30:54.000
296,2020-12-19 05:40:08.400
297,2020-12-19 07:03:46.800
298,2020-12-19 08:14:49.200
299,2020-12-19 11:09:43.200
300,2021-01-25 08:00:00.000
301,2021-01-25 10:38:31.200
302,2021-01-25 13:16:15.600
303,2021-01-25 16:58:22.800
304,2021-01-25 20:03:32.400
305,2021-01-25 22:14:16.800
306,2021-01-26 05:36:36.000
307,2021-01-26 07:17:42.000
308,2021-01-26 09:36:50.400
309,2021-01-26 10:59:16.800
310,2021-01-26 12:55:51.600
311,2021-01-26 14:53:09.600
312,2021-01-26 16:22:19.200
313,2021-01-26 17:34:15.600
314,2021-01-26 18:28:22.800
315,2021-01-26 22:36:25.200
316,2021-01-27 04:48:36.000
317,2021-01-27 07:28:12.000
318,2021-01-27 08:23:45.600
319,2021-01-27 09:13:26.400
320,2021-01-27 09:54:50.400
321,2021-01-27 14:03:28.800
322,2021-01-27 14:56:31.200
323,2021-01-27 15:44:09.600
324,2021-01-27 16:31:51.600
325,2021-01-27 17:43:44.400
326,2021-01-27 18:38:27.600
327,2021-01-27 21:31:01.200
328,2021-01-27 22:37:01.200
329,2021-01-27 23:46:48.000
330,2021-01-28 00:57:00.000
331,2021-01-28 01:56:52.800
332,2021-01-28 03:30:32.400
333,2021-01-28 05:22:22.800
334,2021-01-28 06:23:13.200
335,2021-01-28 07:35:49.200
336,2021-01-28 08:36:43.200
337,2021-01-28 09:37:15.600
338,2021-01-28 10:38:09.600
339,2021-01-28 11:53:20.400
340,2021-01-28 14:06:03.600
341,2021-01-28 15:39:32.400
342,2021-01-28 16:44:02.400
343,2021-01-28 17:29:13.200
344,2021-01-28 18:28:40.800
345,2021-01-28 19:32:52.800
346,2021-01-28 20:21:00.000
347,2021-01-28 23:15:03.600
348,2021-01-29 00:08:56.400
349,2021-01-29 09:31:44.400
350,2021-01-29 10:19:55.200
351,2021-01-29 11:01:08.400
352,2021-01-29 11:59:16.800
353,2021-01-29 14:20:13.200
354,2021-01-29 17:29:20.400
355,2021-01-29 18:29:06.000
356,2021-01-29 20:35:16.800
357,2021-01-29 21:45:54.000
358,2021-01-29 23:52:08.400
359,2021-01-30 01:10:33.600
360,2021-03-08 00:00:00.000
361,2021-03-08 01:25:22.800
362,2021-03-08 02:47:09.600
363,2021-03-08 03:52:30.000
364,2021-03-08 04:55:58.800
365,2021-03-08 06:32:38.400
366,2021-03-08 08:01:04.800
367,2021-03-08 09:26:38.400
368,2021-03-08 10:36:10.800
369,2021-03-08 16:47:16.800
370,2021-03-09 00:10:19.200
371,2021-03-09 03:01:44.400
372,2021-03-09 04:30:54.000
373,2021-03-09 05:50:34.800
374,2021-03-09 06:52:12.000
375,2021-03-09 08:04:12.000
376,2021-03-09 11:27:14.400
377,2021-03-09 12:39:18.000
378,2021-03-09 15:44:34.800
379,2021-03-09 17:56:06.000
380,2021-03-09 18:54:57.600
381,2021-03-10 01:07:58.800
382,2021-03-10 01:58:33.600
383,2021-03-10 02:55:58.800
384,2021-03-10 04:08:16.800
385,2021-03-10 05:25:08.400
