,0
0,29.317536577346686
1,29.317536577346686
2,29.317536577346686
3,29.317536577346686
4,22.87687180465477
5,22.87687180465477
6,22.87687180465477
7,22.87687180465477
8,22.87687180465477
9,22.87687180465477
10,22.87687180465477
11,21.76235306464858
12,40.065193351675504
13,40.065193351675504
14,40.065193351675504
15,40.065193351675504
16,76.7889214814258
17,76.79372026719805
18,75.39313524213364
19,75.39793660179866
20,81.66170223901204
21,76.55426696381484
22,53.481465273601636
23,55.39879926376579
24,53.49108010275671
25,62.98989230848659
26,47.65826322473033
27,52.77754434392116
28,47.66885117290134
29,51.43002342940746
30,51.434839490522364
31,15.673053156966873
32,-29.59578633098554
33,-61.3857038243441
34,-59.72424490553909
35,-35.52966497949364
36,-52.04384362755955
37,-52.039687220845764
38,-60.869148456273436
39,-48.63523361284899
40,-47.65025283128244
41,-47.64609454419182
42,-47.641935801473885
43,-47.63777660320752
44,-47.633616949330815
45,-45.976714922456
46,-52.36967537846668
47,-52.365514301885085
48,-147.46398944072436
49,-152.90602443749634
50,-157.818501565382
51,-158.06047249032986
52,-159.15969282823323
53,-157.61676818768535
54,-157.6147746578011
55,-171.4769556211332
56,-178.8212917432615
57,-177.02255325550766
58,-177.02056154893685
59,-178.11915349018776
60,-176.77806920491128
61,-198.17442500357504
62,-182.19235646736024
63,-181.0900705912237
64,-134.15692223152706
65,-135.60182024343624
66,-139.7469148549895
67,-154.29709555310225
68,-148.53657874030583
69,-174.07885402972406
70,-168.31755136591892
71,-174.07108527925183
72,-172.46037487002928
73,-168.30519341461866
74,-174.05985607623654
75,-165.43782878817362
76,87.34844175486796
77,83.20052228222961
78,92.67223844553612
79,38.24356983286354
80,48.94545576492621
81,53.33338803356269
82,55.57084693749159
83,48.96567494794916
84,43.18719897311128
85,47.57466621828598
86,45.4851216928158
87,47.587587203746786
88,43.213516324957325
89,22.505379785835245
90,18.175115347392193
91,11.571858710645593
92,11.577941242669937
93,21.498057304609674
94,6.757613483103242
95,8.85947998637507
96,-23.121189940440427
97,-23.116303790497962
98,-24.87300107096873
99,-23.10652754801571
100,-61.65392861941442
101,-61.64903721148047
102,-56.13895794631799
103,-69.50037347436019
104,-77.20138064049328
105,-77.19648396802428
106,-77.19158597787904
107,-77.18668667070128
108,-77.18178604497766
109,-81.77121778562642
110,-75.82034560054625
111,-75.81544101902547
112,-97.56860503500897
113,-104.13719036887451
114,-97.56522903385317
115,-104.1347708007584
116,-97.56185183701241
117,-104.1323503185013
118,-95.0418338536823
119,-101.61328933281933
120,-95.03845426364168
121,-84.68923676232617
122,-91.26222402435873
123,-84.68585525599352
124,-91.25980025027845
125,-77.78344015864421
126,-84.35834316718316
127,-77.7800562549466
128,-126.68828989749127
129,-125.34455932617377
130,-130.5283131413221
131,-130.52491687231864
132,-126.22307320700725
133,-138.92165962944645
134,-137.57848185842687
135,-138.87136499363257
136,-145.14871658806416
137,-143.8058427460863
138,-141.62251814104013
139,-143.38781804616812
140,-143.3844293689113
141,-143.3810415577505
142,-136.11990361827148
143,-137.4554520404626
144,-93.15784219286337
145,-99.70574951778838
146,-74.34457424887466
147,-35.74519620552226
148,-42.71213189845585
149,-35.74374676319498
150,-34.94638769645259
151,-35.741813663109724
152,-34.57416175082789
153,-33.702521290514646
154,-34.49807065273696
155,-41.46776964832734
156,-34.49661989765111
157,-34.49565254464846
158,-41.048309623824856
159,-34.49420124184133
160,-112.48222583626145
161,-112.47579350644938
162,-97.93700706213542
163,-102.0344084479755
164,-102.02797981487606
165,-102.02155247562118
166,-102.01512642998063
167,-99.4975025788122
168,-97.89717615417314
169,-101.99677342699351
170,-95.51059106975765
171,-93.24653502796885
172,-94.02398655460641
173,-89.91065952937683
174,-94.01206996796205
175,-94.00565519125968
176,-90.45214782187236
177,-92.95905775453866
178,-90.43883943388016
179,-90.43218745174511
180,-92.93982893463786
181,-90.4188879098528
182,-90.41224034980337
183,-92.9206117442929
184,-89.16970903981019
185,-89.1630659005321
186,-89.15642423443816
187,-91.66576629854393
188,-83.13933677288469
189,-83.13269952528444
190,-85.64276768506042
191,-84.58785093163516
192,-87.09840224823492
193,-94.73910329453992
194,-89.79595470186229
195,-95.63426817537334
196,-89.78226608681655
197,-91.36580717172461
198,-92.04959999599711
199,-88.68493417618905
200,-90.09963845896564
201,-90.78371146732738
202,-90.08662299855524
203,-87.41143292929937
204,-93.25673705367066
205,-85.18472957950755
206,-91.03161762780192
207,-85.17107295237645
208,-96.34362376919438
209,-90.65024712202327
210,-97.0002359150064
211,-91.30487535257619
212,-96.99004105745165
213,-96.9846049227735
214,-91.28620523578256
215,-96.97441427596338
216,-96.96898038723118
217,-91.26754505979709
218,-94.97099530607238
219,-94.9655636640878
220,-89.26109617852171
221,-94.95538144204025
222,-86.3201533379183
223,-92.01641696869677
224,-88.1171151861187
225,-83.97734000633399
226,-81.2456075182922
227,-73.64109029684921
228,-73.63550563445266
229,-73.62992189907114
230,-73.62396681728693
231,-73.61801270700293
232,-76.34149019856075
233,-73.60610740226822
234,-76.53400137517458
235,-76.52842297676885
236,-76.52284550525941
237,-76.51689710518251
238,-89.67366720359944
239,-86.93517214686666
240,-74.74746325512109
241,-74.74090861045264
242,-70.08283840744001
243,-70.07628668748713
244,-65.81352171453234
245,-70.0641230860138
246,-70.05757554254545
247,-66.08870528718607
248,-66.08216066672536
249,-66.07561750718902
250,-66.06907580870491
251,-61.80447051961828
252,-66.05693081540473
253,-66.05039329001717
254,-62.05312773983255
255,-62.046593134725555
256,-64.13966908606888
257,-66.4217210590442
258,-70.75732337792617
259,-64.12089180796504
260,-64.11496529530875
261,-66.39714567083017
262,-66.73772866544837
263,-68.83379285137761
264,-56.4784218245791
265,-58.76072878023976
266,-58.75484019168448
267,-56.46067026711748
268,-56.45475610341592
269,-63.080473612999754
270,-55.88140031349518
271,-53.58711864837757
272,-53.581210775774636
273,-55.86376056202481
274,-53.459913434720505
