,0
0,4.6
1,1.0999999999999999
2,6.3999999999999995
3,3.8
4,5.3999999999999995
5,8.999999999999998
6,12.7
7,4.1
8,8.7
9,5.499999999999999
10,7.899999999999999
11,5.699999999999999
12,10.999999999999998
13,4.999999999999999
14,10.399999999999999
15,9.6
16,5.8999999999999995
17,4.199999999999999
18,10.2
19,12.899999999999999
20,9.999999999999998
21,16.6
22,15.199999999999998
23,15.799999999999999
24,15.499999999999998
25,16.6
26,16.2
27,16.6
28,16.2
29,16.6
30,6.999999999999999
31,9.1
32,2.0
33,1.4
34,3.9
35,3.8
36,9.399999999999999
37,3.8
38,10.1
39,9.899999999999999
40,7.499999999999999
41,1.9
42,1.4
43,5.999999999999999
44,8.899999999999999
45,0.1
46,9.7
47,15.099999999999998
48,3.9999999999999996
49,12.7
50,2.6999999999999997
51,6.8999999999999995
52,2.6
53,8.899999999999999
54,3.3
55,2.9
56,6.8999999999999995
57,3.8
58,8.499999999999998
59,4.1
60,6.8999999999999995
61,4.699999999999999
62,4.8999999999999995
63,7.3999999999999995
64,16.099999999999998
