,latitude,longditude
0,57.15470822505185,-2.1185733842766115
1,57.172,-2.109
2,57.189,-2.099
3,57.207,-2.089
4,57.224,-2.079
5,57.241,-2.069
6,57.259,-2.059
7,57.276,-2.049
8,57.294,-2.039
9,57.311,-2.029
10,57.328,-2.019
11,57.346,-2.009
12,57.363,-1.999
13,57.38,-1.989
14,57.398,-1.979
15,57.415,-1.969
16,57.432,-1.959
17,57.45,-1.949
18,57.467,-1.939
19,57.484,-1.929
20,57.502,-1.919
21,57.519,-1.909
22,57.536,-1.899
23,57.554,-1.889
24,57.571,-1.879
25,57.589,-1.869
26,57.606,-1.859
27,57.623,-1.849
28,57.641,-1.839
29,57.658,-1.829
30,57.675,-1.819
31,57.693,-1.809
32,57.71,-1.799
33,57.727,-1.789
34,57.745,-1.779
35,57.762,-1.769
36,57.779,-1.759
37,57.797,-1.749
38,57.814,-1.739
39,57.831,-1.73
40,57.849,-1.72
41,57.866,-1.71
42,57.884,-1.7
43,57.901,-1.69
44,57.918,-1.68
45,57.936,-1.67
46,57.953,-1.66
47,57.97,-1.65
48,57.988,-1.64
49,58.005,-1.63
50,58.022,-1.62
51,58.04,-1.61
52,58.057,-1.6
53,58.074,-1.59
54,58.092,-1.58
55,58.109,-1.57
56,58.126,-1.56
57,58.144,-1.55
58,58.161,-1.54
59,58.179,-1.53
60,58.196,-1.52
61,58.213,-1.51
62,58.231,-1.5
63,58.248,-1.49
64,58.265,-1.48
65,58.283,-1.47
66,58.3,-1.46
67,58.317,-1.45
68,58.335,-1.44
69,58.352,-1.43
70,58.369,-1.42
71,58.387,-1.41
72,58.404,-1.4
73,58.421,-1.39
74,58.439,-1.38
75,58.456,-1.37
76,58.474,-1.36
77,58.491,-1.35
78,58.508,-1.34
79,58.526,-1.33
80,58.543,-1.321
81,58.56,-1.311
82,58.578,-1.301
83,58.595,-1.291
84,58.612,-1.281
85,58.63,-1.271
86,58.647,-1.261
87,58.664,-1.251
88,58.682,-1.241
89,58.699,-1.231
90,58.716,-1.221
91,58.734,-1.211
92,58.751,-1.201
93,58.768,-1.191
94,58.786,-1.181
95,58.803,-1.171
96,58.80320072664799,-1.1708712520663145
97,58.837,-1.23
98,58.871,-1.289
99,58.905,-1.348
100,58.938,-1.407
101,58.972,-1.466
102,59.006,-1.525
103,59.04,-1.584
104,59.073,-1.643
105,59.107,-1.702
106,59.141,-1.761
107,59.175,-1.82
108,59.209,-1.879
109,59.242,-1.938
110,59.276,-1.997
111,59.31,-2.056
112,59.344,-2.115
113,59.378,-2.174
114,59.411,-2.233
115,59.445,-2.292
116,59.479,-2.351
117,59.513,-2.41
118,59.546,-2.469
119,59.58,-2.528
120,59.614,-2.587
121,59.648,-2.646
122,59.682,-2.705
123,59.715,-2.764
124,59.749,-2.823
125,59.783,-2.882
126,59.817,-2.941
127,59.85,-3.0
128,59.884,-3.058
129,59.918,-3.117
130,59.952,-3.176
131,59.986,-3.235
132,60.019,-3.294
133,60.053,-3.353
134,60.087,-3.412
135,60.121,-3.471
136,60.155,-3.53
137,60.188,-3.589
138,60.222,-3.648
139,60.256,-3.707
140,60.29,-3.766
141,60.323,-3.825
142,60.357,-3.884
143,60.391,-3.943
144,60.425,-4.002
145,60.459,-4.061
146,60.492,-4.12
147,60.526,-4.179
148,60.56,-4.238
149,60.594,-4.297
150,60.628,-4.356
151,60.661,-4.415
152,60.695,-4.474
153,60.729,-4.533
154,60.763,-4.592
155,60.796,-4.651
156,60.83,-4.71
157,60.864,-4.769
158,60.898,-4.828
159,60.932,-4.887
160,60.965,-4.946
161,60.999,-5.005
162,61.033,-5.064
163,61.067,-5.123
164,61.1,-5.182
165,61.134,-5.241
166,61.168,-5.3
167,61.202,-5.359
168,61.236,-5.418
169,61.269,-5.477
170,61.303,-5.536
171,61.337,-5.595
172,61.371,-5.654
173,61.405,-5.713
174,61.438,-5.772
175,61.472,-5.831
176,61.506,-5.89
177,61.54,-5.949
178,61.573,-6.008
179,61.607,-6.067
180,61.641,-6.126
181,61.675,-6.185
182,61.709,-6.244
183,61.742,-6.303
184,61.776,-6.362
185,61.81,-6.421
186,61.844,-6.48
187,61.877,-6.539
188,61.911,-6.598
189,61.945,-6.657
190,61.979,-6.716
191,62.013,-6.775
