latitude,longitude
60.135,4.959
60.127,4.958
60.118,4.957
60.11,4.956
60.102,4.954
60.093,4.953
60.085,4.952
60.077,4.951
60.068,4.95
60.06,4.949
60.052,4.948
60.044,4.947
60.035,4.946
60.027,4.944
60.019,4.943
60.01,4.942
60.002,4.941
59.994,4.941
59.985,4.94
59.976,4.94
59.968,4.94
59.96,4.94
59.951,4.94
59.942,4.939
59.934,4.939
59.926,4.939
59.917,4.938
59.908,4.938
59.9,4.938
59.892,4.938
59.883,4.938
59.874,4.937
59.866,4.937
59.858,4.94
59.849,4.943
59.84,4.945
59.832,4.948
59.823,4.951
59.815,4.954
59.806,4.957
59.798,4.96
59.79,4.962
59.781,4.965
59.772,4.968
59.764,4.971
59.756,4.974
59.747,4.976
59.738,4.979
59.73,4.982
59.722,4.983
59.714,4.985
59.706,4.986
59.698,4.987
59.69,4.988
59.682,4.99
59.674,4.991
59.666,4.992
59.659,4.993
59.651,4.994
59.643,4.996
59.635,4.997
59.627,4.998
59.619,4.999
59.611,5.001
59.603,5.002
59.594,5.003
59.585,5.004
59.576,5.004
59.568,5.005
59.559,5.006
59.55,5.006
59.541,5.007
59.532,5.008
59.523,5.009
59.514,5.01
59.505,5.01
59.496,5.011
59.488,5.012
59.479,5.012
59.47,5.013
59.461,5.014
59.453,5.014
59.445,5.015
59.436,5.016
59.428,5.016
59.42,5.017
59.412,5.017
59.404,5.018
59.396,5.018
59.387,5.018
59.379,5.019
59.371,5.02
59.363,5.02
59.355,5.02
59.346,5.021
59.338,5.022
59.33,5.022
59.322,5.024
59.313,5.026
59.305,5.029
59.296,5.031
59.288,5.033
59.279,5.036
59.271,5.038
59.262,5.04
59.254,5.042
59.246,5.044
59.237,5.047
59.229,5.049
59.22,5.051
59.212,5.054
59.203,5.056
59.195,5.058
59.187,5.067
59.18,5.076
59.172,5.086
59.165,5.095
59.157,5.104
59.149,5.113
59.142,5.122
59.134,5.132
59.126,5.141
59.119,5.15
59.111,5.159
59.104,5.168
59.096,5.177
59.088,5.187
59.081,5.196
59.073,5.205
59.067,5.216
59.061,5.227
59.056,5.238
59.05,5.25
59.044,5.261
59.038,5.272
59.032,5.283
59.026,5.294
59.021,5.305
59.015,5.316
59.009,5.327
59.003,5.338
58.997,5.35
58.992,5.361
58.986,5.372
58.98,5.383
58.977,5.395
58.973,5.408
58.97,5.42
58.966,5.432
58.963,5.445
58.959,5.457
58.956,5.469
58.952,5.482
58.949,5.494
58.946,5.506
58.942,5.518
58.939,5.531
