,0,1
0,55.47341900177149,8.301921187910168
1,55.522,8.253
2,55.571,8.203
3,55.619,8.154
4,55.668,8.105
5,55.716,8.055
6,55.765,8.006
7,55.814,7.957
8,55.862,7.907
9,55.911,7.858
10,55.959,7.809
11,56.008,7.759
12,56.056,7.71
13,56.105,7.661
14,56.154,7.612
15,56.202,7.562
16,56.251,7.513
17,56.299,7.464
18,56.348,7.414
19,56.397,7.365
20,56.445,7.316
21,56.494,7.266
22,56.542,7.217
23,56.591,7.168
24,56.639,7.118
25,56.688,7.069
26,56.737,7.02
27,56.785,6.971
28,56.834,6.921
29,56.882,6.872
30,56.931,6.823
31,56.98,6.773
32,57.028,6.724
33,57.077,6.675
34,57.125,6.625
35,57.174,6.576
36,57.222,6.527
37,57.271,6.477
38,57.32,6.428
39,57.368,6.379
40,57.417,6.329
41,57.465,6.28
42,57.514,6.231
43,57.563,6.182
44,57.611,6.132
45,57.66,6.083
46,57.708,6.034
47,57.757,5.984
48,57.806,5.935
49,57.854,5.886
50,57.903,5.836
51,57.951,5.787
52,58.0,5.738
53,58.048,5.688
54,58.097,5.639
55,58.146,5.59
56,58.194,5.54
57,58.243,5.491
58,58.291,5.442
59,58.34,5.393
60,58.389,5.343
61,58.437,5.294
62,58.486,5.245
63,58.534,5.195
64,58.534289780314545,5.195293578632795
65,58.54,5.201
66,58.547,5.208
67,58.553,5.214
68,58.559,5.22
69,58.565,5.226
70,58.572,5.232
71,58.578,5.238
72,58.584,5.244
73,58.59,5.25
74,58.596,5.256
75,58.603,5.263
76,58.609,5.269
77,58.615,5.275
78,58.621,5.281
79,58.627,5.287
80,58.634,5.293
81,58.64,5.299
82,58.646,5.305
83,58.652,5.311
84,58.658,5.318
85,58.665,5.324
86,58.671,5.33
87,58.677,5.336
88,58.683,5.342
89,58.689,5.348
90,58.696,5.354
91,58.702,5.36
92,58.708,5.366
93,58.714,5.373
94,58.72,5.379
95,58.727,5.385
96,58.733,5.391
97,58.739,5.397
98,58.745,5.403
99,58.751,5.409
100,58.758,5.415
101,58.764,5.421
102,58.77,5.428
103,58.776,5.434
104,58.782,5.44
105,58.789,5.446
106,58.795,5.452
107,58.801,5.458
108,58.807,5.464
109,58.813,5.47
110,58.82,5.477
111,58.826,5.483
112,58.832,5.489
113,58.838,5.495
114,58.844,5.501
115,58.851,5.507
116,58.857,5.513
117,58.863,5.519
118,58.869,5.525
119,58.875,5.532
120,58.882,5.538
121,58.888,5.544
122,58.894,5.55
123,58.9,5.556
124,58.906,5.562
125,58.913,5.568
126,58.919,5.574
127,58.925,5.58
