latitude,longitude
61.609,5.006
61.603,4.994
61.596,4.982
61.59,4.969
61.584,4.957
61.577,4.945
61.571,4.933
61.564,4.921
61.558,4.908
61.552,4.896
61.545,4.884
61.539,4.872
61.532,4.86
61.526,4.848
61.52,4.835
61.513,4.823
61.507,4.811
61.5,4.801
61.494,4.791
61.487,4.781
61.48,4.771
61.473,4.761
61.466,4.751
61.46,4.741
61.453,4.732
61.446,4.722
61.44,4.712
61.433,4.702
61.426,4.692
61.419,4.682
61.412,4.672
61.406,4.662
61.399,4.652
61.392,4.645
61.384,4.638
61.377,4.631
61.369,4.624
61.362,4.616
61.354,4.609
61.347,4.602
61.34,4.595
61.332,4.588
61.325,4.581
61.317,4.574
61.31,4.566
61.302,4.559
61.295,4.552
61.287,4.545
61.28,4.538
61.271,4.537
61.263,4.537
61.254,4.536
61.246,4.535
61.237,4.535
61.229,4.534
61.22,4.533
61.212,4.533
61.203,4.532
61.194,4.531
61.186,4.53
61.177,4.53
61.169,4.529
61.16,4.528
61.152,4.528
61.143,4.527
61.135,4.526
61.126,4.525
61.118,4.524
61.11,4.524
61.102,4.523
61.094,4.522
61.085,4.521
61.077,4.52
61.069,4.519
61.061,4.518
61.052,4.517
61.044,4.516
61.036,4.516
61.028,4.515
61.019,4.514
61.011,4.513
61.003,4.515
60.994,4.517
60.986,4.519
60.977,4.521
60.968,4.523
60.96,4.525
60.952,4.527
60.943,4.53
60.934,4.532
60.926,4.534
60.918,4.536
60.909,4.538
60.9,4.54
60.892,4.542
60.884,4.544
60.875,4.546
60.867,4.55
60.859,4.553
60.851,4.557
60.843,4.561
60.835,4.564
60.827,4.568
60.819,4.572
60.811,4.576
60.804,4.579
60.796,4.583
60.788,4.587
60.78,4.59
60.772,4.594
60.764,4.598
60.756,4.601
60.748,4.605
60.739,4.609
60.731,4.613
60.722,4.617
60.713,4.62
60.705,4.624
60.696,4.628
60.688,4.632
60.679,4.636
60.67,4.64
60.662,4.644
60.653,4.648
60.644,4.652
60.636,4.655
60.627,4.659
60.619,4.663
60.61,4.667
60.602,4.67
60.594,4.673
60.586,4.676
60.578,4.678
60.57,4.681
60.562,4.684
60.554,4.687
60.546,4.69
60.538,4.693
60.53,4.696
60.522,4.699
60.514,4.702
60.506,4.704
60.498,4.707
60.49,4.71
60.482,4.713
60.474,4.718
60.466,4.722
60.458,4.727
60.45,4.732
60.441,4.736
60.433,4.741
60.425,4.745
60.417,4.75
60.409,4.755
60.401,4.759
60.393,4.764
60.384,4.768
60.376,4.773
60.368,4.778
60.36,4.782
60.352,4.787
60.344,4.793
60.336,4.799
60.328,4.805
60.32,4.81
60.313,4.816
60.305,4.822
60.297,4.828
60.289,4.834
60.281,4.84
60.273,4.846
60.265,4.852
60.258,4.858
60.25,4.863
60.242,4.869
60.234,4.875
60.226,4.881
60.217,4.881
60.208,4.882
60.2,4.882
60.191,4.882
60.182,4.883
60.174,4.883
60.165,4.884
60.156,4.884
60.147,4.884
60.138,4.885
60.13,4.885
60.121,4.885
60.112,4.886
60.104,4.886
60.095,4.887
60.086,4.887
