,latitude,longditude
0,62.01263234289485,-6.774748315943504
1,62.018,-6.641
2,62.023,-6.507
3,62.027,-6.374
4,62.032,-6.24
5,62.037,-6.106
6,62.042,-5.973
7,62.047,-5.839
8,62.052,-5.706
9,62.057,-5.572
10,62.062,-5.438
11,62.067,-5.305
12,62.072,-5.171
13,62.077,-5.037
14,62.082,-4.904
15,62.087,-4.77
16,62.092,-4.636
17,62.097,-4.503
18,62.102,-4.369
19,62.107,-4.235
20,62.112,-4.102
21,62.117,-3.968
22,62.122,-3.834
23,62.127,-3.701
24,62.132,-3.567
25,62.137,-3.433
26,62.141,-3.3
27,62.146,-3.166
28,62.151,-3.032
29,62.156,-2.899
30,62.161,-2.765
31,62.166,-2.632
32,62.171,-2.498
33,62.176,-2.364
34,62.181,-2.231
35,62.186,-2.097
36,62.191,-1.963
37,62.196,-1.83
38,62.201,-1.696
39,62.206,-1.562
40,62.211,-1.429
41,62.216,-1.295
42,62.221,-1.161
43,62.226,-1.028
44,62.231,-0.894
45,62.236,-0.76
46,62.241,-0.627
47,62.246,-0.493
48,62.251,-0.359
49,62.255,-0.226
50,62.26,-0.092
51,62.265,0.042
52,62.27,0.175
53,62.275,0.309
54,62.28,0.442
55,62.285,0.576
56,62.29,0.71
57,62.295,0.843
58,62.3,0.977
59,62.305,1.111
60,62.31,1.244
61,62.315,1.378
62,62.32,1.512
63,62.325,1.645
64,62.33,1.779
65,62.335,1.913
66,62.34,2.046
67,62.345,2.18
68,62.35,2.314
69,62.355,2.447
70,62.36,2.581
71,62.364,2.715
72,62.369,2.848
73,62.374,2.982
74,62.379,3.115
75,62.384,3.249
76,62.389,3.383
77,62.394,3.516
78,62.399,3.65
79,62.404,3.784
80,62.409,3.917
81,62.414,4.051
82,62.419,4.185
83,62.424,4.318
84,62.429,4.452
85,62.434,4.586
86,62.439,4.719
87,62.444,4.853
88,62.449,4.987
89,62.454,5.12
90,62.459,5.254
91,62.464,5.388
92,62.469,5.521
93,62.474,5.655
94,62.478,5.789
95,62.483,5.922
