,0,1
0,58.92502271580142,5.580428183923716
1,58.919,5.574
2,58.913,5.568
3,58.906,5.562
4,58.9,5.556
5,58.894,5.55
6,58.888,5.544
7,58.882,5.538
8,58.875,5.532
9,58.869,5.525
10,58.863,5.519
11,58.857,5.513
12,58.851,5.507
13,58.844,5.501
14,58.838,5.495
15,58.832,5.489
16,58.826,5.483
17,58.82,5.477
18,58.813,5.47
19,58.807,5.464
20,58.801,5.458
21,58.795,5.452
22,58.789,5.446
23,58.782,5.44
24,58.776,5.434
25,58.77,5.428
26,58.764,5.421
27,58.758,5.415
28,58.751,5.409
29,58.745,5.403
30,58.739,5.397
31,58.733,5.391
32,58.727,5.385
33,58.72,5.379
34,58.714,5.373
35,58.708,5.366
36,58.702,5.36
37,58.696,5.354
38,58.689,5.348
39,58.683,5.342
40,58.677,5.336
41,58.671,5.33
42,58.665,5.324
43,58.658,5.318
44,58.652,5.311
45,58.646,5.305
46,58.64,5.299
47,58.634,5.293
48,58.627,5.287
49,58.621,5.281
50,58.615,5.275
51,58.609,5.269
52,58.603,5.263
53,58.596,5.256
54,58.59,5.25
55,58.584,5.244
56,58.578,5.238
57,58.572,5.232
58,58.565,5.226
59,58.559,5.22
60,58.553,5.214
61,58.547,5.208
62,58.54,5.201
63,58.534,5.195
64,58.534289780314545,5.195293578632795
65,58.486,5.245
66,58.437,5.294
67,58.389,5.343
68,58.34,5.393
69,58.291,5.442
70,58.243,5.491
71,58.194,5.54
72,58.146,5.59
73,58.097,5.639
74,58.048,5.688
75,58.0,5.738
76,57.951,5.787
77,57.903,5.836
78,57.854,5.886
79,57.806,5.935
80,57.757,5.984
81,57.708,6.034
82,57.66,6.083
83,57.611,6.132
84,57.563,6.182
85,57.514,6.231
86,57.465,6.28
87,57.417,6.329
88,57.368,6.379
89,57.32,6.428
90,57.271,6.477
91,57.222,6.527
92,57.174,6.576
93,57.125,6.625
94,57.077,6.675
95,57.028,6.724
96,56.98,6.773
97,56.931,6.823
98,56.882,6.872
99,56.834,6.921
100,56.785,6.971
101,56.737,7.02
102,56.688,7.069
103,56.639,7.118
104,56.591,7.168
105,56.542,7.217
106,56.494,7.266
107,56.445,7.316
108,56.397,7.365
109,56.348,7.414
110,56.299,7.464
111,56.251,7.513
112,56.202,7.562
113,56.154,7.612
114,56.105,7.661
115,56.056,7.71
116,56.008,7.759
117,55.959,7.809
118,55.911,7.858
119,55.862,7.907
120,55.814,7.957
121,55.765,8.006
122,55.716,8.055
123,55.668,8.105
124,55.619,8.154
125,55.571,8.203
126,55.522,8.253
127,55.473,8.302
