latitude,longitude
63.458,10.382
63.458,10.363
63.458,10.345
63.458,10.326
63.458,10.308
63.458,10.289
63.458,10.27
63.458,10.252
63.458,10.233
63.458,10.214
63.458,10.196
63.458,10.177
63.458,10.158
63.458,10.14
63.458,10.121
63.458,10.103
63.458,10.084
63.463,10.069
63.468,10.054
63.473,10.039
63.478,10.024
63.484,10.009
63.489,9.994
63.494,9.979
63.499,9.965
63.504,9.95
63.509,9.935
63.514,9.92
63.52,9.905
63.525,9.89
63.53,9.875
63.535,9.86
63.54,9.845
63.548,9.84
63.556,9.835
63.565,9.83
63.573,9.825
63.581,9.82
63.589,9.815
63.597,9.81
63.606,9.804
63.614,9.799
63.622,9.794
63.63,9.789
63.638,9.784
63.646,9.779
63.655,9.774
63.663,9.769
63.671,9.764
63.668,9.746
63.665,9.729
63.661,9.711
63.658,9.693
63.655,9.676
63.652,9.658
63.649,9.64
63.646,9.622
63.642,9.605
63.639,9.587
63.636,9.569
63.633,9.552
63.63,9.534
63.626,9.516
63.623,9.499
63.62,9.481
63.624,9.465
63.629,9.449
63.633,9.434
63.637,9.418
63.642,9.402
63.646,9.386
63.651,9.37
63.655,9.354
63.659,9.339
63.664,9.323
63.668,9.307
63.672,9.291
63.677,9.275
63.681,9.26
63.686,9.244
63.69,9.228
63.696,9.215
63.703,9.202
63.71,9.19
63.716,9.177
63.722,9.164
63.729,9.151
63.735,9.139
63.742,9.126
63.748,9.113
63.755,9.1
63.762,9.088
63.768,9.075
63.774,9.062
63.781,9.049
63.787,9.037
63.794,9.024
63.799,9.009
63.804,8.994
63.809,8.978
63.814,8.963
63.819,8.948
63.824,8.933
63.829,8.918
63.834,8.902
63.839,8.887
63.844,8.872
63.849,8.857
63.854,8.842
63.859,8.827
63.864,8.811
63.869,8.796
63.874,8.781
63.877,8.763
63.879,8.745
63.882,8.727
63.884,8.709
63.887,8.691
63.889,8.673
63.892,8.655
63.894,8.637
63.897,8.619
63.9,8.601
63.902,8.583
63.905,8.565
63.907,8.547
63.91,8.529
63.912,8.511
63.915,8.493
63.911,8.476
63.907,8.458
63.903,8.441
63.899,8.424
63.895,8.407
63.891,8.39
63.887,8.372
63.884,8.355
63.88,8.338
63.876,8.32
63.872,8.303
63.868,8.286
63.864,8.269
63.86,8.252
63.856,8.234
63.852,8.217
63.854,8.199
63.855,8.182
63.857,8.164
63.859,8.146
63.86,8.128
63.862,8.11
63.864,8.093
63.866,8.075
63.867,8.057
63.869,8.04
63.871,8.022
63.872,8.004
63.874,7.986
63.876,7.968
63.877,7.951
63.879,7.933
63.872,7.923
63.865,7.913
63.859,7.903
63.852,7.893
63.845,7.883
63.838,7.873
63.831,7.863
63.824,7.852
63.818,7.842
63.811,7.832
63.804,7.822
63.797,7.812
63.79,7.802
63.784,7.792
63.777,7.782
63.77,7.772
63.763,7.761
63.756,7.751
63.749,7.74
63.742,7.729
63.735,7.719
63.728,7.708
63.721,7.697
63.714,7.687
63.707,7.676
63.7,7.665
63.693,7.654
63.686,7.644
63.679,7.633
63.672,7.622
63.665,7.612
63.658,7.601
63.651,7.591
63.643,7.582
63.636,7.572
63.628,7.563
63.621,7.553
63.614,7.544
63.606,7.534
63.599,7.524
63.592,7.515
63.584,7.505
63.577,7.496
63.57,7.486
63.562,7.477
63.555,7.467
63.547,7.458
63.54,7.448
63.532,7.441
63.525,7.433
63.517,7.426
63.51,7.418
63.502,7.411
63.494,7.404
63.487,7.396
63.479,7.389
63.471,7.382
63.464,7.374
63.456,7.367
63.448,7.36
63.441,7.352
63.433,7.345
63.426,7.337
63.418,7.33
63.41,7.322
63.402,7.315
63.394,7.307
63.386,7.299
63.379,7.292
63.371,7.284
63.363,7.276
63.355,7.268
63.347,7.261
63.339,7.253
63.331,7.245
63.324,7.238
63.316,7.23
63.308,7.222
63.3,7.215
63.292,7.207
63.285,7.196
63.278,7.185
63.271,7.174
63.264,7.163
63.258,7.152
63.251,7.141
63.244,7.13
63.237,7.119
63.23,7.108
63.223,7.097
63.216,7.086
63.21,7.075
63.203,7.064
63.196,7.053
63.189,7.042
63.182,7.031
63.176,7.018
63.17,7.006
63.163,6.994
63.157,6.981
63.151,6.968
63.145,6.956
63.139,6.944
63.132,6.931
63.126,6.918
63.12,6.906
63.114,6.894
63.108,6.881
63.102,6.868
63.095,6.856
63.089,6.844
63.083,6.831
63.077,6.818
63.071,6.806
63.065,6.793
63.059,6.78
63.053,6.768
63.047,6.755
63.041,6.742
63.034,6.73
63.028,6.717
63.022,6.704
63.016,6.691
63.01,6.679
63.004,6.666
62.998,6.653
62.992,6.641
62.986,6.628
62.98,6.615
62.974,6.602
62.967,6.589
62.961,6.576
62.955,6.563
62.949,6.55
62.943,6.537
62.936,6.524
62.93,6.51
62.924,6.497
62.918,6.484
62.912,6.471
62.906,6.458
62.899,6.445
62.893,6.432
62.887,6.419
62.881,6.406
62.875,6.392
62.87,6.379
62.864,6.366
62.858,6.352
62.852,6.339
62.846,6.325
62.84,6.312
62.835,6.299
62.829,6.285
62.823,6.272
62.817,6.258
62.811,6.245
62.806,6.232
62.8,6.218
62.794,6.205
62.786,6.197
62.779,6.189
62.771,6.18
62.764,6.172
62.756,6.164
62.749,6.156
62.741,6.148
62.734,6.14
62.726,6.131
62.718,6.123
62.711,6.115
62.703,6.107
62.696,6.099
62.688,6.09
62.681,6.082
62.673,6.074
62.665,6.08
62.657,6.086
62.65,6.091
62.642,6.097
62.634,6.103
62.626,6.108
62.618,6.114
62.61,6.12
62.603,6.126
62.595,6.132
62.587,6.137
62.579,6.143
62.571,6.149
62.564,6.155
62.556,6.16
62.548,6.166
