,latitude,longditude
0,60.135,4.959
1,60.127,4.958
2,60.118,4.957
3,60.11,4.956
4,60.102,4.954
5,60.093,4.953
6,60.085,4.952
7,60.077,4.951
8,60.068,4.95
9,60.06,4.949
10,60.052,4.948
11,60.044,4.947
12,60.035,4.946
13,60.027,4.944
14,60.019,4.943
15,60.01,4.942
16,60.002,4.941
17,59.994,4.941
18,59.985,4.94
19,59.976,4.94
20,59.968,4.94
21,59.96,4.94
22,59.951,4.94
23,59.942,4.939
24,59.934,4.939
25,59.926,4.939
26,59.917,4.938
27,59.908,4.938
28,59.9,4.938
29,59.892,4.938
30,59.883,4.938
31,59.874,4.937
32,59.866,4.937
33,59.858,4.94
34,59.849,4.943
35,59.84,4.945
36,59.832,4.948
37,59.823,4.951
38,59.815,4.954
39,59.806,4.957
40,59.798,4.96
41,59.79,4.962
42,59.781,4.965
43,59.772,4.968
44,59.764,4.971
45,59.756,4.974
46,59.747,4.976
47,59.738,4.979
48,59.73,4.982
49,59.722,4.983
50,59.714,4.985
51,59.706,4.986
52,59.698,4.987
53,59.69,4.988
54,59.682,4.99
55,59.674,4.991
56,59.666,4.992
57,59.659,4.993
58,59.651,4.994
59,59.643,4.996
60,59.635,4.997
61,59.627,4.998
62,59.619,4.999
63,59.611,5.001
64,59.603,5.002
65,59.594,5.003
66,59.585,5.004
67,59.576,5.004
68,59.568,5.005
69,59.559,5.006
70,59.55,5.006
71,59.541,5.007
72,59.532,5.008
73,59.523,5.009
74,59.514,5.01
75,59.505,5.01
76,59.496,5.011
77,59.488,5.012
78,59.479,5.012
79,59.47,5.013
80,59.461,5.014
81,59.453,5.014
82,59.445,5.015
83,59.436,5.016
84,59.428,5.016
85,59.42,5.017
86,59.412,5.017
87,59.404,5.018
88,59.396,5.018
89,59.387,5.018
90,59.379,5.019
91,59.371,5.02
92,59.363,5.02
93,59.355,5.02
94,59.346,5.021
95,59.338,5.022
96,59.33,5.022
97,59.322,5.024
98,59.313,5.026
99,59.305,5.029
100,59.296,5.031
101,59.288,5.033
102,59.279,5.036
103,59.271,5.038
104,59.262,5.04
105,59.254,5.042
106,59.246,5.044
107,59.237,5.047
108,59.229,5.049
109,59.22,5.051
110,59.212,5.054
111,59.203,5.056
112,59.195,5.058
113,59.187,5.067
114,59.18,5.076
115,59.172,5.086
116,59.165,5.095
117,59.157,5.104
118,59.149,5.113
119,59.142,5.122
120,59.134,5.132
121,59.126,5.141
122,59.119,5.15
123,59.111,5.159
124,59.104,5.168
125,59.096,5.177
126,59.088,5.187
127,59.081,5.196
128,59.073,5.205
129,59.067,5.216
130,59.061,5.227
131,59.056,5.238
132,59.05,5.25
133,59.044,5.261
134,59.038,5.272
135,59.032,5.283
136,59.026,5.294
137,59.021,5.305
138,59.015,5.316
139,59.009,5.327
140,59.003,5.338
141,58.997,5.35
142,58.992,5.361
143,58.986,5.372
144,58.98,5.383
145,58.977,5.395
146,58.973,5.408
147,58.97,5.42
148,58.966,5.432
149,58.963,5.445
150,58.959,5.457
151,58.956,5.469
152,58.952,5.482
153,58.949,5.494
154,58.946,5.506
155,58.942,5.518
156,58.939,5.531
