,latitude,longditude
0,62.48342017643765,5.922191001412515
1,62.482,5.915
2,62.481,5.908
3,62.48,5.901
4,62.479,5.894
5,62.477,5.887
6,62.476,5.88
7,62.475,5.873
8,62.474,5.866
9,62.472,5.859
10,62.471,5.852
11,62.47,5.845
12,62.469,5.838
13,62.467,5.831
14,62.466,5.823
15,62.465,5.816
16,62.464,5.809
17,62.463,5.802
18,62.461,5.795
19,62.46,5.788
20,62.459,5.781
21,62.458,5.774
22,62.456,5.767
23,62.455,5.76
24,62.454,5.753
25,62.453,5.746
26,62.451,5.739
27,62.45,5.732
28,62.449,5.725
29,62.448,5.718
30,62.447,5.711
31,62.445,5.704
32,62.444,5.697
33,62.443,5.689
34,62.442,5.682
35,62.44,5.675
36,62.439,5.668
37,62.438,5.661
38,62.437,5.654
39,62.435,5.647
40,62.434,5.64
41,62.433,5.633
42,62.432,5.626
43,62.431,5.619
44,62.429,5.612
45,62.428,5.605
46,62.427,5.598
47,62.426,5.591
48,62.424,5.584
49,62.423,5.577
50,62.422,5.57
51,62.421,5.563
52,62.42,5.555
53,62.418,5.548
54,62.417,5.541
55,62.416,5.534
56,62.415,5.527
57,62.413,5.52
58,62.412,5.513
59,62.411,5.506
60,62.41,5.499
61,62.408,5.492
62,62.407,5.485
63,62.406,5.478
64,62.405,5.471
65,62.404,5.464
66,62.402,5.457
67,62.401,5.45
68,62.4,5.443
69,62.399,5.436
70,62.397,5.429
71,62.396,5.421
72,62.395,5.414
73,62.394,5.407
74,62.392,5.4
75,62.391,5.393
76,62.39,5.386
77,62.389,5.379
78,62.388,5.372
79,62.386,5.365
80,62.385,5.358
81,62.384,5.351
82,62.383,5.344
83,62.381,5.337
84,62.38,5.33
85,62.379,5.323
86,62.378,5.316
87,62.376,5.309
88,62.375,5.302
89,62.374,5.295
90,62.373,5.288
91,62.372,5.28
92,62.37,5.273
93,62.369,5.266
94,62.368,5.259
95,62.367,5.252
96,62.365,5.245
97,62.364,5.238
98,62.363,5.231
99,62.362,5.224
100,62.361,5.217
101,62.359,5.21
102,62.358,5.203
103,62.357,5.196
104,62.356,5.189
105,62.354,5.182
106,62.353,5.175
107,62.352,5.168
108,62.351,5.161
109,62.349,5.154
110,62.348,5.146
111,62.347,5.139
112,62.346,5.132
113,62.345,5.125
114,62.343,5.118
115,62.342,5.111
116,62.341,5.104
117,62.34,5.097
118,62.338,5.09
119,62.337,5.083
120,62.336,5.076
121,62.335,5.069
122,62.333,5.062
123,62.332,5.055
124,62.331,5.048
125,62.33,5.041
126,62.329,5.034
127,62.327,5.027
128,62.326,5.02
129,62.325,5.012
130,62.324854695720006,5.0124722561975235
131,62.31,5.0
132,62.296,4.988
133,62.281,4.975
134,62.267,4.963
135,62.252,4.951
136,62.237,4.938
137,62.223,4.926
138,62.208,4.914
139,62.194,4.901
140,62.179,4.889
141,62.165,4.877
142,62.15,4.864
143,62.135,4.852
144,62.121,4.839
145,62.106,4.827
146,62.092,4.815
147,62.077,4.802
148,62.063,4.79
149,62.048,4.778
150,62.033,4.765
151,62.019,4.753
152,62.004,4.741
153,61.99,4.728
154,61.975,4.716
155,61.961,4.704
156,61.946,4.691
157,61.931,4.679
158,61.917,4.667
159,61.902,4.654
160,61.888,4.642
161,61.873,4.629
162,61.859,4.617
163,61.844,4.605
164,61.829,4.592
165,61.815,4.58
166,61.8,4.568
167,61.786,4.555
168,61.771,4.543
169,61.757,4.531
170,61.742,4.518
171,61.727,4.506
172,61.713,4.494
173,61.698,4.481
174,61.684,4.469
175,61.669,4.456
176,61.655,4.444
177,61.64,4.432
178,61.625,4.419
179,61.611,4.407
180,61.596,4.395
181,61.582,4.382
182,61.567,4.37
183,61.553,4.358
184,61.538,4.345
185,61.523,4.333
186,61.509,4.321
187,61.494,4.308
188,61.48,4.296
189,61.465,4.283
190,61.451,4.271
191,61.436,4.259
192,61.421,4.246
193,61.407,4.234
194,61.392,4.222
195,61.378,4.209
196,61.363,4.197
197,61.349,4.185
198,61.334,4.172
199,61.319,4.16
200,61.305,4.148
201,61.29,4.135
202,61.276,4.123
203,61.261,4.11
204,61.247,4.098
205,61.232,4.086
206,61.217,4.073
207,61.203,4.061
208,61.188,4.049
209,61.174,4.036
210,61.159,4.024
211,61.145,4.012
212,61.13,3.999
213,61.115,3.987
214,61.101,3.975
215,61.086,3.962
216,61.072,3.95
217,61.057,3.937
218,61.043,3.925
219,61.028,3.913
220,61.013,3.9
221,60.999,3.888
222,60.984,3.876
223,60.97,3.863
224,60.955,3.851
225,60.941,3.839
226,60.926,3.826
227,60.911,3.814
228,60.897,3.802
229,60.882,3.789
230,60.868,3.777
231,60.853,3.765
232,60.839,3.752
233,60.824,3.74
234,60.809,3.727
235,60.795,3.715
236,60.78,3.703
237,60.766,3.69
238,60.751,3.678
239,60.737,3.666
240,60.722,3.653
241,60.707,3.641
242,60.693,3.629
243,60.678,3.616
244,60.664,3.604
245,60.649,3.592
246,60.635,3.579
247,60.62,3.567
248,60.605,3.554
249,60.591,3.542
250,60.576,3.53
251,60.562,3.517
