latitude,longitude
62.473,6.193
62.472,6.172
62.47,6.15
62.469,6.129
62.467,6.108
62.466,6.087
62.464,6.066
62.463,6.044
62.462,6.023
62.46,6.002
62.459,5.98
62.457,5.959
62.456,5.938
62.454,5.917
62.453,5.896
62.451,5.874
62.45,5.853
62.449,5.834
62.448,5.815
62.448,5.797
62.447,5.778
62.446,5.759
62.446,5.74
62.445,5.721
62.444,5.702
62.443,5.684
62.442,5.665
62.442,5.646
62.441,5.627
62.44,5.608
62.44,5.59
62.439,5.571
62.438,5.552
62.433,5.538
62.428,5.524
62.423,5.51
62.418,5.496
62.412,5.482
62.407,5.468
62.402,5.454
62.397,5.44
62.392,5.426
62.387,5.412
62.382,5.398
62.376,5.384
62.371,5.37
62.366,5.356
62.361,5.342
62.356,5.328
62.351,5.315
62.345,5.301
62.34,5.288
62.335,5.274
62.329,5.26
62.324,5.247
62.319,5.234
62.314,5.22
62.308,5.206
62.303,5.193
62.298,5.18
62.292,5.166
62.287,5.152
62.282,5.139
62.276,5.126
62.271,5.112
62.264,5.103
62.256,5.094
62.249,5.085
62.241,5.076
62.234,5.067
62.226,5.058
62.219,5.049
62.212,5.04
62.204,5.031
62.197,5.022
62.189,5.013
62.182,5.004
62.174,4.995
62.167,4.986
62.159,4.977
62.152,4.968
62.144,4.959
62.137,4.949
62.129,4.94
62.122,4.931
62.114,4.921
62.107,4.912
62.099,4.903
62.092,4.893
62.084,4.884
62.076,4.875
62.069,4.866
62.061,4.856
62.054,4.847
62.046,4.838
62.039,4.828
62.031,4.819
62.024,4.813
62.016,4.807
62.008,4.801
62.001,4.795
61.994,4.789
61.986,4.783
61.978,4.777
61.971,4.77
61.964,4.764
61.956,4.758
61.948,4.752
61.941,4.746
61.934,4.74
61.926,4.734
61.918,4.728
61.911,4.722
61.903,4.718
61.894,4.714
61.886,4.71
61.878,4.706
61.869,4.703
61.861,4.699
61.852,4.695
61.844,4.691
61.836,4.687
61.827,4.683
61.819,4.679
61.811,4.676
61.802,4.672
61.794,4.668
61.785,4.664
61.777,4.66
61.77,4.67
61.763,4.68
61.756,4.69
61.749,4.7
61.742,4.71
61.735,4.72
61.728,4.73
61.721,4.74
61.714,4.749
61.707,4.759
61.7,4.769
61.693,4.779
61.686,4.789
61.679,4.799
61.672,4.809
61.665,4.819
61.659,4.831
61.653,4.842
61.647,4.854
61.64,4.866
61.634,4.878
61.628,4.89
61.622,4.901
61.616,4.913
61.61,4.925
61.604,4.936
61.598,4.948
61.592,4.96
61.585,4.972
61.579,4.983
61.573,4.995
61.567,5.007
