,heading
0,260.0
1,333.0
2,317.0
3,317.0
4,316.0
5,301.0
6,321.0
7,62.0
8,61.0
9,27.0
10,27.0
11,26.0
12,27.0
13,28.0
14,27.0
15,46.0
16,45.0
17,44.0
18,35.0
19,27.0
20,17.0
21,17.0
22,17.0
23,17.0
24,0.0
25,32.0
26,238.0
27,238.0
28,60.0
29,60.0
30,60.0
31,60.0
32,60.0
33,60.0
34,60.0
35,60.0
36,60.0
37,60.0
38,60.0
39,60.0
40,60.0
41,60.0
42,241.0
43,194.0
44,194.0
45,200.0
46,202.0
47,196.0
48,231.0
49,231.0
50,172.0
51,191.0
52,59.0
53,227.0
54,150.0
55,203.0
56,352.0
57,52.0
58,48.0
59,38.0
60,34.0
61,67.0
62,66.0
63,270.0
64,236.0
65,225.0
66,138.0
67,330.0
68,341.0
69,280.0
70,358.0
71,342.0
72,141.0
73,330.0
74,34.0
75,33.0
76,33.0
77,56.0
78,61.0
79,8.0
80,8.0
81,8.0
82,29.0
83,29.0
84,29.0
85,29.0
86,29.0
87,41.0
88,41.0
89,48.0
90,45.0
91,50.0
92,49.0
93,55.0
94,35.0
95,35.0
96,17.0
97,24.0
98,30.0
99,31.0
100,3.0
101,6.0
102,6.0
103,32.0
104,33.0
105,274.0
106,208.0
107,209.0
108,196.0
109,205.0
110,205.0
111,194.0
112,189.0
113,189.0
114,186.0
115,186.0
116,237.0
117,231.0
118,242.0
119,242.0
120,242.0
121,241.0
122,241.0
123,209.0
124,343.0
125,57.0
126,260.0
127,213.0
128,212.0
129,212.0
130,241.0
131,168.0
132,230.0
133,22.0
134,341.0
135,332.0
136,258.0
137,254.0
138,147.0
139,119.0
140,158.0
141,269.0
142,269.0
143,269.0
144,291.0
145,291.0
146,323.0
147,303.0
148,353.0
149,18.0
150,10.0
151,10.0
152,53.0
153,40.0
154,36.0
155,271.0
156,230.0
157,229.0
158,177.0
159,240.0
160,245.0
161,342.0
162,348.0
163,176.0
164,118.0
165,351.0
166,244.0
167,61.0
168,14.0
169,33.0
170,72.0
171,83.0
172,271.0
173,91.0
174,90.0
175,6.0
176,61.0
177,55.0
178,68.0
179,63.0
180,0.0
181,359.0
182,10.0
183,10.0
184,26.0
185,26.0
186,24.0
187,26.0
188,24.0
189,25.0
190,23.0
191,25.0
192,40.0
193,45.0
194,45.0
195,26.0
196,28.0
197,18.0
198,16.0
199,30.0
200,26.0
201,26.0
202,24.0
203,25.0
204,34.0
205,33.0
206,357.0
207,321.0
208,27.0
209,44.0
210,21.0
211,17.0
212,18.0
213,17.0
214,32.0
215,32.0
216,32.0
217,52.0
218,52.0
219,207.0
220,177.0
221,210.0
222,153.0
223,202.0
224,201.0
225,204.0
226,204.0
227,206.0
228,234.0
229,239.0
230,236.0
231,223.0
232,227.0
233,227.0
234,215.0
235,216.0
236,216.0
237,216.0
238,196.0
239,231.0
240,236.0
241,230.0
242,207.0
243,208.0
244,207.0
245,208.0
246,208.0
247,248.0
248,248.0
249,241.0
250,241.0
251,241.0
252,241.0
253,228.0
254,237.0
255,239.0
256,270.0
257,247.0
258,241.0
259,210.0
260,236.0
261,295.0
262,230.0
263,311.0
264,311.0
265,312.0
266,311.0
267,246.0
268,207.0
269,260.0
270,355.0
271,11.0
272,336.0
273,8.0
274,8.0
275,306.0
276,67.0
277,316.0
278,64.0
279,60.0
280,33.0
281,33.0
282,33.0
283,37.0
284,36.0
285,37.0
286,37.0
287,38.0
288,36.0
289,67.0
290,211.0
291,232.0
292,246.0
293,246.0
294,246.0
295,246.0
296,246.0
297,328.0
298,329.0
299,0.0
300,255.0
301,39.0
302,45.0
303,44.0
304,59.0
305,59.0
306,75.0
307,77.0
308,77.0
309,252.0
310,287.0
311,251.0
312,247.0
313,250.0
314,239.0
315,198.0
316,255.0
317,231.0
318,178.0
319,271.0
320,269.0
321,269.0
322,154.0
323,359.0
324,358.0
325,280.0
326,280.0
327,352.0
328,352.0
329,347.0
330,342.0
331,318.0
332,12.0
333,95.0
334,123.0
335,170.0
336,280.0
337,342.0
338,1.0
339,329.0
340,3.0
341,313.0
342,358.0
343,328.0
344,35.0
345,33.0
346,241.0
347,271.0
348,271.0
349,271.0
350,270.0
351,91.0
352,90.0
353,90.0
354,249.0
355,249.0
356,255.0
357,246.0
358,210.0
359,226.0
360,162.0
361,172.0
362,103.0
363,118.0
364,357.0
365,340.0
366,341.0
367,341.0
368,342.0
369,341.0
370,6.0
371,70.0
372,64.0
373,90.0
374,271.0
375,271.0
376,271.0
377,271.0
378,271.0
379,263.0
380,208.0
381,208.0
