,0,1
0,0.0,0.0
1,0.1,6.840322975342356
2,0.2,54.722583802738846
3,0.3,184.6887203342436
4,0.4,437.78067042191077
5,0.5,855.0403719177943
6,0.6,1477.509762673949
7,0.7,2346.2307805424275
8,0.8,3502.245363375286
9,0.9,4986.595449024578
10,1.0,6840.322975342355
11,1.1,9104.469880180677
12,1.2,11820.078101391591
13,1.3,15028.189576827157
14,1.4,18769.84624433942
15,1.5,23086.090041780448
16,1.6,28017.96290700229
17,1.7,33606.506777856994
18,1.8,39892.76359219662
19,1.9,46917.77528787321
20,2.0,54722.58380273884
21,2.1,63348.23107464556
22,2.2,72835.75904144542
23,2.3,83226.20964099042
24,2.4,94560.62481113273
25,2.5,106880.04648972431
26,2.6,120225.51661461726
27,2.7,134638.07712366362
28,2.8,150158.76995471536
29,2.9,166828.6370456247
30,3.0,184688.72033424358
31,3.1,203780.0617584241
32,3.2,224143.7032560183
33,3.3,245820.6867648782
34,3.4,268852.05422285595
35,3.5,293278.8475678035
36,3.6,319142.10873757297
37,3.7,346482.87967001635
38,3.8,375342.2023029857
39,3.9,405761.1185743332
40,4.0,437780.6704219107
41,4.1,471441.8997835703
42,4.2,506785.8485971645
43,4.3,543853.5588005447
44,4.4,582686.0723315633
45,4.5,623324.4311280721
46,4.6,665809.6771279234
47,4.7,710182.8522689694
48,4.8,756484.9984890618
49,4.9,804757.1577260529
50,5.0,855040.3719177945
51,5.1,907375.6830021385
52,5.2,961804.132916938
53,5.3,1018366.7636000437
54,5.4,1077104.616989309
55,5.5,1138058.7350225847
56,5.6,1201270.159637723
57,5.7,1266779.932772577
58,5.8,1334629.0963649976
59,5.9,1404858.6923528379
60,6.0,1477509.7626739487
61,6.1,1552623.3492661826
62,6.2,1630240.4940673928
63,6.3,1710402.2390154302
64,6.4,1793149.6260481465
65,6.5,1878523.6971033944
66,6.6,1966565.4941190255
67,6.7,2057316.059032893
68,6.8,2150816.4337828476
69,6.9,2247107.6603067424
70,7.0,2346230.780542428
71,7.1,2448226.836427757
72,7.2,2553136.8699005838
73,7.3,2661001.9228987573
74,7.4,2771863.037360131
75,7.5,2885761.255222556
76,7.6,3002737.6184238857
77,7.7,3122833.1689019715
78,7.8,3246088.9485946656
79,7.9,3372545.9994398197
